time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-01T00:21:08.270Z,-21.8264,170.7323,130.85,5.1,mb,,43,3.988,0.73,us,us20002aki,2015-07-09T22:00:04.040Z,"294 km SSE of Isangel, Vanuatu",earthquake,4.6,4.4,0.043,176,reviewed,us,us
2015-05-01T02:46:22.140Z,-9.4395,112.9109,61.38,5,mb,,44,1.559,1.48,us,us20002al3,2022-07-31T03:15:49.870Z,"136 km S of Dampit, Indonesia",earthquake,6.7,4.9,0.061,86,reviewed,us,us
2015-05-01T02:55:53.840Z,15.7439,-93.6009,97.46,4.5,mb,,167,1.506,0.89,us,us20002al5,2022-07-31T03:16:50.580Z,"7 km S of Manuel Ávila Camacho (Ponte Duro), Mexico",earthquake,8.7,8.4,0.045,144,reviewed,us,us
2015-05-01T03:59:50.550Z,0.4974,147.3625,14.97,4.5,mb,,60,2.523,0.77,us,us20002dgp,2015-07-09T22:00:04.040Z,"280 km N of Lorengau, Papua New Guinea",earthquake,6.5,4.2,0.113,23,reviewed,us,us
2015-05-01T07:42:39.520Z,-2.9948,-80.4261,55.37,4.5,mb,,68,3.769,0.68,us,us20002am5,2015-07-09T22:00:04.040Z,"40 km S of Playas, Ecuador",earthquake,8.2,6.3,0.061,80,reviewed,us,us
2015-05-01T08:06:03.480Z,-5.2005,151.7773,44,6.8,mww,,23,1.074,0.65,us,us20002am6,2022-07-31T03:23:31.809Z,"109 km SSW of Kokopo, Papua New Guinea",earthquake,6.8,1.8,,,reviewed,us,us
2015-05-01T08:06:52.250Z,-5.4912,151.8715,35,6,mb,,71,1.323,0.98,us,us20002dhx,2020-07-10T16:09:51.866Z,"134 km SSW of Kokopo, Papua New Guinea",earthquake,10.4,1.9,0.108,32,reviewed,us,us
2015-05-01T08:58:41.800Z,10.7112,91.9645,29.31,5.3,mb,,62,1.21,0.75,us,us20002aml,2022-07-31T03:24:38.959Z,"135 km SW of Port Blair, India",earthquake,6.8,4.1,0.056,108,reviewed,us,us
2015-05-01T09:54:09.130Z,-5.7673,151.5026,35,4.6,mb,,150,1.698,0.91,us,us20002amr,2015-07-09T22:00:04.040Z,"153 km E of Kimbe, Papua New Guinea",earthquake,11,2,0.096,32,reviewed,us,us
2015-05-01T11:48:56.670Z,-56.0777,-24.2174,35,4.8,mb,,93,7.253,0.82,us,us20002dhg,2015-07-09T22:00:04.040Z,"South Sandwich Islands region",earthquake,12.4,1.8,0.114,24,reviewed,us,us
2015-05-01T12:58:02.580Z,25.1925,123.0563,155.6,4.5,mb,,68,0.723,0.71,us,us20002an7,2015-07-09T22:00:05.040Z,"80 km N of Yonakuni, Japan",earthquake,7,5.1,0.057,90,reviewed,us,us
2015-05-01T15:03:04.740Z,-33.5615,-178.425,35,4.7,mb,,137,4.324,1.3,us,us20002dhb,2015-07-09T22:00:05.040Z,"south of the Kermadec Islands",earthquake,8.8,2,0.158,12,reviewed,us,us
2015-05-01T15:29:27.700Z,-60.5652,-26.9713,31.16,4.8,mb,,107,8.119,0.63,us,us20002dhz,2015-07-09T22:00:05.040Z,"South Sandwich Islands region",earthquake,13.6,6.2,0.114,24,reviewed,us,us
2015-05-01T16:00:09.830Z,-17.5565,-178.9174,511.68,4.6,mb,,74,2.895,0.8,us,us20002ape,2015-07-09T22:00:05.040Z,"Fiji region",earthquake,11.5,7,0.065,70,reviewed,us,us
