time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-08-01T00:43:56.220Z,-14.5822,167.2613,86.94,4.5,mb,,194,0.861,1.12,us,us100033m5,2015-10-30T02:47:41.040Z,"54 km NNE of Port-Olry, Vanuatu",earthquake,5.1,7.9,0.128,18,reviewed,us,us
2015-08-01T03:32:50.850Z,-25.7135,69.6389,10,4.7,mb,,75,21.285,0.79,us,us100033m7,2015-10-30T02:47:41.040Z,"Indian Ocean Triple Junction",earthquake,10.3,1.5,0.093,35,reviewed,us,us
2015-08-01T03:38:44.590Z,-25.343,154.3348,9,5.4,mww,,18,2.943,0.87,us,us10002x1x,2019-12-20T10:43:29.745Z,"139 km ENE of Rainbow Beach, Australia",earthquake,7,1.7,,,reviewed,us,us
2015-08-01T04:46:24.830Z,-25.4093,154.1987,10,5.2,mb,,31,2.819,0.98,us,us10002x2n,2022-08-07T08:09:03.964Z,"123 km ENE of Rainbow Beach, Australia",earthquake,7.3,1.7,0.08,60,reviewed,us,us
2015-08-01T11:30:21.410Z,-30.0726,-68.282,10,5.2,mww,,20,1.508,0.77,us,us10002x3v,2022-05-03T18:28:28.765Z,"48 km ENE of San José de Jáchal, Argentina",earthquake,5.6,1.7,,,reviewed,us,us
2015-08-01T13:59:56.730Z,-6.0144,151.7495,28.37,4.5,mb,,109,1.857,0.67,us,us100033mg,2015-10-30T02:47:42.040Z,"185 km ESE of Kimbe, Papua New Guinea",earthquake,11.4,6.5,0.135,16,reviewed,us,us
2015-08-01T14:19:28.650Z,-6.831,-11.7145,10,4.8,mb,,97,2.843,1.28,us,us10002x55,2015-10-30T02:47:42.040Z,"Ascension Island region",earthquake,6.3,1.9,0.114,24,reviewed,us,us
2015-08-01T14:24:42.110Z,38.3328,142.0534,56.84,4.7,mb,,127,1.099,1.17,us,us10002x4l,2015-10-30T02:47:42.040Z,"66 km E of Ishinomaki, Japan",earthquake,7.2,6.7,0.083,44,reviewed,us,us
2015-08-01T15:17:41.870Z,7.6354,125.4864,33.28,4.7,mb,,68,0.569,0.94,us,us10002x51,2022-07-31T21:54:45.291Z,"15 km W of Santo Niño, Philippines",earthquake,9.1,3.4,0.088,39,reviewed,us,us
2015-08-01T15:52:34.380Z,30.5967,131.4249,35.65,4.5,mb,,70,1.234,0.81,us,us10002x57,2015-10-30T02:47:42.040Z,"43 km ESE of Nishinoomote, Japan",earthquake,6.6,9,0.221,6,reviewed,us,us
2015-08-01T16:05:30.080Z,-5.3711,152.9131,29.23,4.5,mb,,94,1.389,1.38,us,us10002x5b,2015-10-30T02:47:42.040Z,"134 km SSE of Kokopo, Papua New Guinea",earthquake,7,6,0.132,17,reviewed,us,us
2015-08-01T18:16:53.620Z,-4.332,101.1355,32.59,4.7,mb,,177,3.829,0.69,us,us10002x5p,2015-10-30T02:47:42.040Z,"138 km WSW of Bengkulu, Indonesia",earthquake,9.6,2.9,0.078,50,reviewed,us,us
2015-08-01T21:51:42.150Z,30.6746,131.4282,34.42,4.8,mb,,107,1.18,0.67,us,us10002x76,2015-10-30T02:47:42.040Z,"41 km E of Nishinoomote, Japan",earthquake,6.9,5.7,0.068,66,reviewed,us,us
2015-08-01T22:06:09.000Z,51.9758,-169.4892,16.6,4.7,mb,,,,1.2,us,us10002x7e,2023-07-27T14:45:10.746Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,6.7,4.3,0.036,229,reviewed,ak,us
2015-08-01T22:30:55.400Z,-37.6933,51.2083,10,4.5,mb,,105,16.092,0.65,us,us100033ml,2015-10-30T02:47:43.040Z,"South Indian Ocean",earthquake,7.7,1.8,0.145,14,reviewed,us,us
2015-08-01T23:35:06.000Z,14.8052,-91.0801,205.49,4.7,mb,,77,0.653,0.66,us,us10002x7u,2015-10-30T02:47:43.040Z,"7 km ENE of Concepción, Guatemala",earthquake,7.1,4.9,0.046,145,reviewed,us,us
2015-08-02T00:47:58.810Z,12.716,144.8028,18.51,4.6,mb,,92,2.686,1.26,us,us100033p7,2015-10-30T02:47:43.040Z,"61 km S of Inarajan Village, Guam",earthquake,12.8,6.2,0.109,25,reviewed,us,us
2015-08-02T05:29:33.320Z,-48.2073,-9.8649,10,5.3,mb,,41,23.767,0.57,us,us10002x96,2015-10-30T02:47:43.040Z,"southern Mid-Atlantic Ridge",earthquake,9.8,1.7,0.068,74,reviewed,us,us
2015-08-02T05:58:04.620Z,30.3447,94.9251,31.19,4.8,mb,,45,3.355,0.5,us,us10002x9a,2022-05-03T17:27:26.910Z,"208 km NNE of Shi Yomi, India",earthquake,5.9,5.4,0.05,122,reviewed,us,us
2015-08-02T06:06:16.230Z,-7.1172,146.1242,169.5,4.6,mb,,83,2.493,0.57,us,us10002x9d,2015-10-30T02:47:43.040Z,"57 km W of Bulolo, Papua New Guinea",earthquake,11.1,6.8,0.069,63,reviewed,us,us
2015-08-02T06:35:37.230Z,-1.6219,100.2739,53.16,4.5,mb,,123,2.081,0.72,us,us10002x9g,2015-10-30T02:47:43.040Z,"74 km S of Padang, Indonesia",earthquake,8.2,6.9,0.09,36,reviewed,us,us
2015-08-02T07:50:04.670Z,44.8888,148.0247,118.28,4.8,mb,,122,3.961,0.79,us,us10002x9l,2015-10-30T02:47:43.040Z,"39 km SSE of Kuril’sk, Russia",earthquake,8.6,6.3,0.044,160,reviewed,us,us
2015-08-02T07:53:35.170Z,-4.0209,135.9938,10,4.5,mb,,60,3.895,1,us,us10002x9r,2015-10-30T02:47:43.040Z,"91 km SE of Nabire, Indonesia",earthquake,5.8,1.9,0.118,23,reviewed,us,us
2015-08-02T10:53:17.020Z,-25.6314,-13.8592,11.34,4.8,mb,,65,28.853,0.84,us,us10002xa2,2015-10-30T02:47:44.040Z,"southern Mid-Atlantic Ridge",earthquake,10.6,4,0.081,48,reviewed,us,us
2015-08-02T13:08:46.020Z,8.1761,123.8546,602.93,5.2,mb,,26,2.032,0.92,us,us10002xaf,2015-10-30T02:47:44.040Z,"2 km SSW of Lapase, Philippines",earthquake,9.3,5.2,0.034,278,reviewed,us,us
2015-08-02T13:22:30.070Z,39.9061,142.5952,35,4.5,mb,,140,1.711,0.83,us,us10002xah,2015-10-30T02:47:44.040Z,"63 km ENE of Miyako, Japan",earthquake,7.3,2,0.172,10,reviewed,us,us
2015-08-02T16:28:28.660Z,-10.9768,166.1157,50.31,4.5,mb,,188,4.567,0.47,us,us100033pi,2015-10-30T02:47:44.040Z,"44 km SE of Lata, Solomon Islands",earthquake,5.3,10.5,0.121,20,reviewed,us,us
2015-08-02T16:36:25.250Z,-14.4102,167.3094,164.31,4.6,mb,,60,1.035,0.85,us,us10002xbg,2015-10-30T02:47:44.040Z,"64 km SSW of Sola, Vanuatu",earthquake,9.9,5.7,0.068,65,reviewed,us,us
