time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-01T04:11:00.890Z,-20.4437,-175.6478,151.64,4.8,mb,,101,5.556,0.78,us,us100042dd,2016-02-25T22:33:03.040Z,"89 km NNW of Nuku‘alofa, Tonga",earthquake,11.2,6.5,0.081,47,reviewed,us,us
2015-12-01T06:05:06.530Z,-17.2269,-174.0719,84.83,4.5,mb,,115,3.971,0.49,us,us100043ay,2016-02-25T22:33:03.040Z,"143 km SSW of Hihifo, Tonga",earthquake,10.7,7.5,0.135,16,reviewed,us,us
2015-12-01T06:13:43.360Z,41.3752,73.257,40.83,5.1,mb,,31,1.562,1.12,us,us100042du,2022-08-01T21:24:13.273Z,"53 km NNE of Jalal-Abad, Kyrgyzstan",earthquake,5.6,2.4,0.044,168,reviewed,us,us
2015-12-01T07:20:36.540Z,-24.2372,-67.0671,163.71,4.5,mb,,75,2.341,0.95,us,us100042dv,2016-02-25T22:33:03.040Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,7.6,6.6,0.096,32,reviewed,us,us
2015-12-01T07:26:14.130Z,-31.6011,-71.4825,40.19,4.7,mwr,,80,0.933,0.79,us,us100042dx,2016-02-25T22:33:03.040Z,"29 km W of Illapel, Chile",earthquake,6.3,5.2,0.052,36,reviewed,us,us
2015-12-01T11:45:18.800Z,-14.9844,-176.3544,10,4.7,mb,,103,4.561,1.42,us,us100043b6,2016-02-25T22:33:04.040Z,"189 km S of Mata-Utu, Wallis and Futuna",earthquake,8.8,1.9,0.13,18,reviewed,us,us
2015-12-01T11:46:36.850Z,-14.8514,-176.637,10,4.8,mb,,101,4.801,1.46,us,us100043b7,2016-11-10T22:02:50.516Z,"169 km ESE of Alo, Wallis and Futuna",earthquake,13.2,1.9,0.098,32,reviewed,us,us
2015-12-01T12:06:26.010Z,-15.0817,-176.2983,10,4.9,mb,,104,4.531,1.29,us,us100042ex,2016-11-10T22:02:51.594Z,"199 km S of Mata-Utu, Wallis and Futuna",earthquake,14.1,1.9,0.177,10,reviewed,us,us
2015-12-01T12:08:33.530Z,-30.2953,-71.5711,35.44,4.7,mwr,,83,0.381,1.09,us,us100042ev,2016-02-25T22:33:04.040Z,"43 km SSW of Coquimbo, Chile",earthquake,5.6,5.6,0.052,36,reviewed,us,us
2015-12-01T12:14:21.780Z,1.0112,127.5026,10,5.1,mb,,81,0.273,0.81,us,us100042f0,2022-05-03T17:36:39.436Z,"27 km NNE of Ternate, Indonesia",earthquake,8.5,1.9,0.07,67,reviewed,us,us
2015-12-01T12:25:06.880Z,-15.2259,-173.3868,35,4.8,mb,,84,2.035,1.19,us,us100042f8,2016-02-25T22:33:04.040Z,"91 km NNE of Hihifo, Tonga",earthquake,7.4,1.9,0.068,66,reviewed,us,us
2015-12-01T13:39:55.090Z,-16.379,-71.1123,117.31,5,mww,,80,2.113,0.8,us,us100042fk,2022-08-07T08:34:42.614Z,"22 km SSW of Tarucani, Peru",earthquake,8.8,4.5,,,reviewed,us,us
2015-12-01T14:45:40.160Z,-15.3864,-173.4579,35,4.7,mb,,55,4.984,0.7,us,us100043bk,2016-02-25T22:33:04.040Z,"72 km NNE of Hihifo, Tonga",earthquake,13.1,1.9,0.102,29,reviewed,us,us
2015-12-01T14:46:42.710Z,3.0954,98.0064,80.84,4.5,mb,,118,1.83,0.41,us,us100042g1,2016-02-25T22:33:04.040Z,"53 km W of Kabanjahe, Indonesia",earthquake,8,4,0.191,8,reviewed,us,us
2015-12-01T16:26:41.480Z,0.9918,127.5501,10,4.5,mb,,129,0.285,0.76,us,us100043bu,2016-02-25T22:33:04.040Z,"28 km N of Sofifi, Indonesia",earthquake,6.6,1.9,0.191,8,reviewed,us,us
2015-12-01T17:08:25.130Z,-14.8839,-176.5573,10,5.8,mww,,43,4.731,1.47,us,us100042gv,2022-05-03T17:36:40.676Z,"179 km ESE of Alo, Wallis and Futuna",earthquake,7.5,1.8,,,reviewed,us,us
2015-12-01T20:20:12.680Z,-6.9809,155.5596,51.91,5,mb,,70,4.37,0.67,us,us100042jf,2016-02-25T22:33:04.040Z,"73 km S of Panguna, Papua New Guinea",earthquake,8.3,6.6,0.062,83,reviewed,us,us
2015-12-01T22:48:06.570Z,38.6716,142.3066,32.63,4.7,mb,,125,1.437,0.81,us,us100042kn,2016-02-25T22:33:05.040Z,"67 km SE of ?funato, Japan",earthquake,7,5.1,0.06,85,reviewed,us,us
2015-12-01T22:59:37.940Z,-32.9378,-178.3231,10,4.7,mb,,136,3.696,0.94,us,us100043bs,2016-02-25T22:33:05.040Z,"south of the Kermadec Islands",earthquake,10.8,1.9,0.117,22,reviewed,us,us
2015-12-02T00:51:47.840Z,17.1205,147.6529,15.01,4.9,mb,,66,2.015,0.9,us,us100042lk,2016-02-25T22:33:05.040Z,"292 km NE of Saipan, Northern Mariana Islands",earthquake,9.5,4.8,0.066,71,reviewed,us,us
2015-12-02T01:58:28.610Z,-25.2813,179.7751,497.22,4.6,mb,,135,7.668,0.83,us,us100043cl,2016-02-25T22:33:05.040Z,"south of the Fiji Islands",earthquake,15.2,7.9,0.119,21,reviewed,us,us
2015-12-02T02:07:17.420Z,6.5329,126.5069,81.61,4.5,mb,,167,1.064,0.81,us,us100043ci,2016-02-25T22:33:05.040Z,"41 km ENE of Pondaguitan, Philippines",earthquake,12.4,7.9,0.15,13,reviewed,us,us
2015-12-02T04:41:19.400Z,38.3896,141.858,57.21,4.6,mb,,122,0.989,0.66,us,us100042m1,2016-02-25T22:33:05.040Z,"48 km E of Ishinomaki, Japan",earthquake,6,5.4,0.056,95,reviewed,us,us
2015-12-02T05:21:57.400Z,24.19,121.92,5,4.6,mb,,,,1.3,us,us100042m5,2016-02-25T22:33:05.040Z,"39 km NE of Hualien City, Taiwan",earthquake,2.5,4.6,0.107,26,reviewed,tap,us
2015-12-02T06:48:06.490Z,38.8846,144.7247,22.38,4.8,mb,,122,3.254,0.85,us,us100042mm,2016-02-25T22:33:05.040Z,"248 km ESE of Yamada, Japan",earthquake,8,5,0.08,48,reviewed,us,us
2015-12-02T09:38:27.990Z,-30.3944,-72.1107,10,4.8,mwr,,88,0.496,0.69,us,us100042n3,2016-11-10T22:02:56.777Z,"88 km WSW of Coquimbo, Chile",earthquake,4.9,1.8,0.046,46,reviewed,us,us
2015-12-02T10:00:50.210Z,-4.9058,152.5477,45,4.7,mb,,70,0.806,0.96,us,us100042nh,2016-02-25T22:33:05.040Z,"69 km SSE of Kokopo, Papua New Guinea",earthquake,8.5,2.3,0.094,34,reviewed,us,us
2015-12-02T10:05:25.798Z,61.6966,-147.2622,36.6,4.5,mw,,,,0.52,ak,ak015ffuk2jn,2023-07-28T16:12:32.805Z,"24 km ESE of Glacier View, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2015-12-02T10:08:28.990Z,-6.2443,154.6777,56.1,5.3,mb,,24,3.229,0.71,us,us100042nk,2016-11-10T22:02:57.980Z,"89 km W of Panguna, Papua New Guinea",earthquake,7.7,3.5,0.052,127,reviewed,us,us
2015-12-02T11:31:08.400Z,-34.3473,-109.1812,10,4.8,mb,,43,31.038,0.69,us,us100043dk,2016-02-25T22:33:05.040Z,"southern East Pacific Rise",earthquake,5.5,1.8,0.079,50,reviewed,us,us
2015-12-02T12:04:18.130Z,-56.1557,-26.6889,55.55,4.5,mb,,96,5.914,0.66,us,us100043dj,2016-02-25T22:33:05.040Z,"South Sandwich Islands region",earthquake,7.3,8,0.121,20,reviewed,us,us
2015-12-02T12:09:33.760Z,-34.7969,-108.0446,10,4.8,mb,,118,7.705,0.8,us,us100043d0,2016-11-10T22:02:59.088Z,"southern East Pacific Rise",earthquake,13.6,1.9,0.081,53,reviewed,us,us
2015-12-02T12:12:36.830Z,-16.887,175.3095,42.54,4.7,mb,,72,2.755,1.03,us,us100042p1,2016-11-10T22:03:00.251Z,"241 km WNW of Lautoka, Fiji",earthquake,9.5,6.7,0.077,52,reviewed,us,us
2015-12-02T12:41:40.670Z,-33.809,-109.3015,10,4.8,mb,,67,6.628,0.9,us,us100043cy,2016-02-25T22:33:05.040Z,"southern East Pacific Rise",earthquake,12.5,1.8,0.101,34,reviewed,us,us
2015-12-02T12:49:55.800Z,-23.7705,-176.4938,69.13,4.6,mb,,254,19.014,0.54,us,us100043di,2016-02-25T22:33:06.040Z,"south of the Fiji Islands",earthquake,29.1,23,0.136,16,reviewed,us,us
2015-12-02T12:51:00.490Z,-34.2079,-108.945,10,4.8,mb,,72,7.037,0.61,us,us100043cx,2016-02-25T22:33:06.040Z,"southern East Pacific Rise",earthquake,8.1,1.8,0.069,66,reviewed,us,us
2015-12-02T13:27:38.130Z,-34.5569,-109.3534,10,4.6,mb,,65,7.373,0.61,us,us100043ct,2016-02-25T22:33:06.040Z,"southern East Pacific Rise",earthquake,14.8,1.9,0.137,16,reviewed,us,us
2015-12-02T19:32:54.470Z,-0.9202,121.3797,37.03,4.7,mb,,64,2.104,1.1,us,us100042sn,2016-02-25T22:33:06.040Z,"87 km NE of Poso, Indonesia",earthquake,7.3,8.5,0.089,38,reviewed,us,us
2015-12-02T20:01:04.290Z,44.1227,148.7048,64,4.8,mb,,95,4.4,0.75,us,us100042sx,2016-02-25T22:33:06.040Z,"139 km SSE of Kuril’sk, Russia",earthquake,11.2,6.9,0.044,163,reviewed,us,us
2015-12-02T21:19:33.920Z,11.6389,-87.2249,34.87,4.5,mb,,113,1.064,0.69,us,us100042tz,2016-02-25T22:33:06.040Z,"79 km WSW of Masachapa, Nicaragua",earthquake,6,5.6,0.078,48,reviewed,us,us
2015-12-02T21:28:56.300Z,-34.3855,-109.0754,10,4.6,mb,,85,35.021,0.71,us,us100043da,2016-11-10T22:03:03.673Z,"southern East Pacific Rise",earthquake,12.5,1.8,0.126,19,reviewed,us,us
2015-12-02T22:07:52.910Z,-0.0303,123.1898,138.94,4.8,mb,,26,2.661,1.11,us,us100042ui,2016-02-25T22:33:06.040Z,"64 km SSE of Gorontalo, Indonesia",earthquake,6.2,5.6,0.057,95,reviewed,us,us
2015-12-02T22:27:37.270Z,-34.2786,-109.3244,10,4.5,mb,,65,37.165,0.83,us,us100043dw,2016-02-25T22:33:06.040Z,"southern East Pacific Rise",earthquake,10.6,1.9,0.172,10,reviewed,us,us
2015-12-02T22:32:36.500Z,11.64,-87.2432,14.05,4.5,mb,,171,1.066,1.07,us,us100043dc,2016-02-25T22:33:06.040Z,"81 km WSW of Masachapa, Nicaragua",earthquake,6.4,6.1,0.115,22,reviewed,us,us
2015-12-02T22:55:06.450Z,-34.422,-109.2552,10,4.8,mb,,61,33.997,0.73,us,us100043dd,2016-11-10T22:03:08.431Z,"southern East Pacific Rise",earthquake,12.1,1.7,0.078,51,reviewed,us,us
2015-12-02T23:07:50.940Z,-34.4129,-109.1678,10,4.7,mb,,62,31.068,0.62,us,us100043de,2016-11-10T22:03:09.697Z,"southern East Pacific Rise",earthquake,8.3,1.8,0.106,27,reviewed,us,us
2015-12-02T23:16:00.470Z,-34.3955,-108.9366,10,4.7,mb,,79,31.289,0.8,us,us100043df,2016-11-10T22:03:10.934Z,"southern East Pacific Rise",earthquake,9.4,1.8,0.102,29,reviewed,us,us
2015-12-02T23:27:09.890Z,39.2826,40.2553,10,5.4,mww,,13,0.272,0.71,us,us100042v4,2022-08-01T21:35:37.339Z,"17 km ENE of Yayladere, Turkey",earthquake,4.1,1.7,,,reviewed,us,us
2015-12-02T23:46:16.600Z,-34.412,-109.0216,10,4.8,mb,,65,33.806,0.6,us,us100043dq,2016-02-25T22:33:06.040Z,"southern East Pacific Rise",earthquake,15.4,1.3,0.102,30,reviewed,us,us
