time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-04-01T00:32:06.510Z,-18.385,168.5283,70.46,4.6,mb,,102,3.185,0.99,us,us200026a4,2015-06-12T01:53:32.040Z,"75 km SSE of Port-Vila, Vanuatu",earthquake,11.4,4.5,0.192,8,reviewed,us,us
2015-04-01T01:13:13.790Z,-5.5352,152.2531,10,4.6,mb,,149,1.338,1,us,us10001smt,2015-06-12T01:53:32.040Z,"131 km S of Kokopo, Papua New Guinea",earthquake,10.6,1.9,0.084,43,reviewed,us,us
2015-04-01T01:14:45.460Z,-5.3706,147.5269,159.15,4.5,mb,,70,4.024,0.72,us,us200026av,2015-06-12T01:53:32.040Z,"135 km NNW of Finschhafen, Papua New Guinea",earthquake,11.9,7.9,0.157,12,reviewed,us,us
2015-04-01T01:45:15.900Z,-14.911,-13.5388,10,4.8,mb,,68,7.587,0.76,us,us200026a6,2015-06-12T01:53:33.040Z,"southern Mid-Atlantic Ridge",earthquake,8.9,1.6,0.119,22,reviewed,us,us
2015-04-01T02:02:01.250Z,-5.2962,152.5748,38.49,4.7,mb,,100,1.171,0.93,us,us200026a7,2015-06-12T01:53:33.040Z,"110 km SSE of Kokopo, Papua New Guinea",earthquake,13,7.7,0.121,21,reviewed,us,us
2015-04-01T02:09:11.230Z,0.9301,124.0097,222.81,4.9,mb,,52,2.317,0.91,us,us10001sn7,2015-06-12T01:53:33.040Z,"98 km WSW of Tomohon, Indonesia",earthquake,7.4,5,0.048,134,reviewed,us,us
2015-04-01T05:32:13.660Z,28.0109,131.1019,35.06,4.5,mb,,122,2.185,1.21,us,us200026ab,2015-06-12T01:53:33.040Z,"163 km ESE of Naze, Japan",earthquake,5.9,8.9,0.22,6,reviewed,us,us
2015-04-01T05:33:35.870Z,-16.3872,177.8147,25.79,4.6,mb,,112,1.369,0.94,us,us10001sp1,2015-06-12T01:53:33.040Z,"127 km N of Ba, Fiji",earthquake,9.5,5.8,0.097,32,reviewed,us,us
2015-04-01T06:01:46.650Z,-5.6458,153.0799,10,4.6,mb,,83,1.709,0.93,us,us10001sp7,2015-06-12T01:53:33.040Z,"169 km SSE of Kokopo, Papua New Guinea",earthquake,11.3,1.9,0.082,44,reviewed,us,us
2015-04-01T08:11:29.260Z,53.5487,161.744,37.8,4.6,mb,,111,1.93,1.06,us,us10001spl,2015-06-12T01:53:33.040Z,"213 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,7.6,3.8,0.049,122,reviewed,us,us
2015-04-01T08:17:27.860Z,-29.3442,-71.718,31.56,5.4,mww,,71,0.949,0.99,us,us10001spm,2022-05-03T17:18:28.438Z,"76 km NNW of Coquimbo, Chile",earthquake,6.5,3,,,reviewed,us,us
2015-04-01T09:35:56.030Z,-6.9009,132.542,9,5.4,mww,,20,1.635,0.71,us,us10001spt,2022-05-03T17:18:33.850Z,"142 km S of Tual, Indonesia",earthquake,6.1,1.6,,,reviewed,us,us
2015-04-01T10:00:38.210Z,15.8841,-91.4031,23.14,4.5,mb,,93,0.57,1.28,us,us10001sq1,2015-06-12T01:53:33.040Z,"9 km NE of San Mateo Ixtatán, Guatemala",earthquake,7.2,5.9,0.065,69,reviewed,us,us
2015-04-01T11:06:35.790Z,-16.0213,-172.8346,10,5.5,mwc,,54,8.89,0.69,us,us10001sqq,2016-11-10T21:47:00.317Z,"103 km E of Hihifo, Tonga",earthquake,5.8,1.6,,,reviewed,us,gcmt
2015-04-01T15:30:32.060Z,29.4926,-42.9124,10,4.5,mb,,110,15.225,0.58,us,us200026ae,2015-06-12T01:53:33.040Z,"northern Mid-Atlantic Ridge",earthquake,9.1,1.9,0.099,30,reviewed,us,us
2015-04-01T15:44:46.600Z,-48.8898,30.7297,10,4.5,mb,,97,18.102,1.3,us,us200026af,2015-06-12T01:53:33.040Z,"south of Africa",earthquake,13.4,2,0.181,9,reviewed,us,us
2015-04-01T15:56:58.310Z,51.8166,176.6533,55.71,4.6,mb,,63,1.159,0.94,us,us10001st4,2023-07-26T14:27:09.827Z,"262 km ESE of Attu Station, Alaska",earthquake,6.5,5.2,0.045,148,reviewed,us,us
2015-04-01T16:21:18.790Z,-1.8319,99.6712,10.57,4.5,mb,,53,2.543,0.48,us,us10001stg,2015-06-12T01:53:34.040Z,"123 km SW of Padang, Indonesia",earthquake,8.1,4.3,0.101,29,reviewed,us,us
2015-04-01T16:32:00.470Z,45.0555,150.7492,40.51,4.5,mb,,138,5.881,0.72,us,us10001stj,2015-06-12T01:53:34.040Z,"226 km E of Kuril’sk, Russia",earthquake,10.1,7.8,0.089,37,reviewed,us,us
2015-04-01T16:32:47.040Z,-30.1919,-178.8745,35,4.5,mb,,137,1.251,1.23,us,us200026ag,2015-06-12T01:53:34.040Z,"Kermadec Islands, New Zealand",earthquake,12.5,2,0.204,7,reviewed,us,us
2015-04-01T16:45:21.200Z,-10.5415,-78.0795,48,5.3,mwb,,74,1.881,0.87,us,us10001sts,2022-07-28T05:38:54.642Z,"30 km WNW of Paramonga, Peru",earthquake,6.1,1.9,0.058,29,reviewed,us,us
2015-04-01T16:45:58.740Z,29.2007,-43.0835,10,4.6,mb,,186,33.369,0.89,us,us200026aq,2015-06-12T01:53:34.040Z,"northern Mid-Atlantic Ridge",earthquake,15.5,1.7,0.109,25,reviewed,us,us
2015-04-01T16:59:02.560Z,29.2003,59.6857,10,4.7,mb,,51,1.034,1.06,us,us10001su5,2015-06-12T01:53:34.040Z,"82 km SSW of No?rat?b?d, Iran",earthquake,4.8,1.9,0.07,62,reviewed,us,us
2015-04-01T20:08:15.670Z,-30.4802,-178.2791,12.94,4.5,mb,,187,1.268,0.58,us,us200026aj,2015-06-12T01:53:34.040Z,"Kermadec Islands, New Zealand",earthquake,12.2,7.1,0.18,9,reviewed,us,us
2015-04-01T21:23:54.400Z,30.3521,79.5107,10,4.9,mb,,31,6.238,0.52,us,us10001sx7,2022-07-28T05:43:36.289Z,"11 km SE of P?palkoti, India",earthquake,6.9,1.8,0.05,124,reviewed,us,us
2015-04-01T23:50:23.980Z,-20.8808,-178.9619,561.23,4.5,mb,,223,4.204,0.92,us,us10001szb,2015-06-12T01:53:34.040Z,"Fiji region",earthquake,20.5,18.2,0.108,25,reviewed,us,us
2015-04-02T00:44:54.070Z,14.8407,-91.4674,154.94,4.8,mb,,47,0.383,0.92,us,us10001szg,2015-06-16T01:00:22.040Z,"3 km NNW of Cantel, Guatemala",earthquake,6.6,4.4,0.047,142,reviewed,us,us
2015-04-02T00:56:38.960Z,28.7007,86.3309,57.33,4.6,mb,,75,4.31,0.54,us,us10001szi,2015-06-16T01:00:22.040Z,"89 km NNE of Kod?ri??, Nepal",earthquake,8.6,6.6,0.062,77,reviewed,us,us
2015-04-02T01:15:19.490Z,29.2615,-42.8917,10,4.6,mb,,83,33.504,0.64,us,us200025lm,2015-06-16T01:00:22.040Z,"northern Mid-Atlantic Ridge",earthquake,13.1,1.9,0.114,23,reviewed,us,us
2015-04-02T02:56:09.460Z,-4.4567,102.6599,61.55,5.1,mb,,27,0.31,0.55,us,us10001t06,2015-06-16T01:00:23.040Z,"80 km SW of Pagar Alam, Indonesia",earthquake,6.7,4.1,0.064,78,reviewed,us,us
