time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-01T02:16:06.520Z,-59.6234,-26.1395,10,4.5,mb,,76,15.277,0.85,us,us20002xq9,2015-09-02T22:37:26.040Z,"South Sandwich Islands region",earthquake,14.4,1.9,0.118,21,reviewed,us,us
2015-07-01T02:25:42.560Z,63.8386,-23.0179,10,4.5,mb,,65,1.173,0.87,us,us10002mpu,2022-07-31T16:13:56.725Z,"26 km SW of Sandgerði, Iceland",earthquake,6.2,1.6,0.05,117,reviewed,us,us
2015-07-01T02:42:40.790Z,27.2728,91.2869,35.46,4.5,mb,,133,1.774,0.76,us,us20002xqe,2022-07-31T19:03:01.124Z,"4 km E of Mongar, Bhutan",earthquake,7.4,8.1,0.093,34,reviewed,us,us
2015-07-01T03:16:50.640Z,44.1184,148.5808,45.88,4.5,mb,,136,4.311,0.65,us,us10002mqg,2015-09-02T22:37:26.040Z,"135 km SSE of Kuril’sk, Russia",earthquake,9,7.2,0.076,51,reviewed,us,us
2015-07-01T04:59:27.900Z,63.8622,-23.1378,10,4.5,mb,,59,1.188,0.62,us,us10002mqv,2015-09-02T22:37:26.040Z,"28 km SW of Sandgerði, Iceland",earthquake,5.4,1.9,0.078,48,reviewed,us,us
2015-07-01T05:00:05.320Z,63.7217,-23.2416,10,4.5,mb,,51,17.577,1.13,us,us20002xr8,2015-09-02T22:37:26.040Z,"41 km WSW of Grindavík, Iceland",earthquake,7.1,1.8,0.101,29,reviewed,us,us
2015-07-01T05:55:25.260Z,6.8576,-73.0132,143.7,4.6,mb,,41,0.96,0.95,us,us10002mr1,2022-07-31T16:15:46.150Z,"12 km NNW of Cepitá, Colombia",earthquake,7.5,6.8,0.036,237,reviewed,us,us
2015-07-01T06:54:59.180Z,-12.9947,169.2335,642.3,4.6,mb,,46,7.97,0.79,us,us10002mra,2015-09-02T22:37:26.040Z,"206 km ENE of Sola, Vanuatu",earthquake,11.5,7.9,0.042,170,reviewed,us,us
2015-07-01T07:04:26.870Z,-33.9796,179.4608,258.17,4.5,mb,,120,3.696,1.45,us,us10002mrl,2015-09-02T22:37:26.040Z,"south of the Kermadec Islands",earthquake,8.6,7.4,0.111,24,reviewed,us,us
2015-07-01T12:14:06.970Z,-31.9794,-177.6911,10,4.7,mb,,187,7.573,1.09,us,us20002xqk,2015-09-02T22:37:27.040Z,"Kermadec Islands region",earthquake,14,1.9,0.148,16,reviewed,us,us
