time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-01T02:48:20.000Z,-18.887,-69.309,112,4.6,mb,,,,1.02,us,usc000tknw,2022-07-27T18:12:47.363Z,"113 km ESE of Arica, Chile",earthquake,7.3,5.2,0.077,57,reviewed,guc,us
2015-02-01T04:36:36.250Z,-5.4513,151.5917,58.14,5,mb,,26,1.375,0.64,us,usc000tkp9,2022-07-27T18:13:44.686Z,"143 km SSW of Kokopo, Papua New Guinea",earthquake,8.3,3.9,0.068,90,reviewed,us,us
2015-02-01T05:53:47.060Z,13.2995,-91.9513,35,4.9,mb,,94,1.243,0.92,us,usc000tkpf,2015-05-02T14:06:23.040Z,"110 km S of Champerico, Guatemala",earthquake,7.7,1.9,0.03,370,reviewed,us,us
2015-02-01T07:01:55.760Z,-3.8036,101.7768,57.42,4.5,mb,,111,1.299,0.65,us,usc000tkpi,2015-05-02T14:07:27.040Z,"54 km W of Bengkulu, Indonesia",earthquake,4.7,7.2,0.124,23,reviewed,us,us
2015-02-01T11:20:25.640Z,56.6399,-169.0803,10,5.1,mwb,,28,0.836,0.84,us,usc000tkqa,2023-07-25T18:45:26.581Z,"28 km E of Saint George, Alaska",earthquake,4.7,1.8,0.069,20,reviewed,us,us
2015-02-01T11:41:46.490Z,-12.3801,166.7543,176.66,5.5,mwb,,28,3.079,0.57,us,usc000tkqd,2015-05-02T14:07:07.040Z,"186 km NNW of Sola, Vanuatu",earthquake,9.2,4,0.089,12,reviewed,us,us
2015-02-01T12:27:13.400Z,-2.9101,148.1922,13.63,4.8,mb,,82,1.192,1.11,us,usc000tkqj,2015-05-02T14:05:26.040Z,"140 km SE of Lorengau, Papua New Guinea",earthquake,7.7,4.9,0.121,23,reviewed,us,us
2015-02-01T13:19:22.100Z,-14.7099,167.3034,134.01,4.6,mb,,88,0.739,0.33,us,usc000tnde,2015-05-02T14:07:37.040Z,"44 km NE of Port-Olry, Vanuatu",earthquake,11.4,5.7,0.105,28,reviewed,us,us
2015-02-01T13:34:02.980Z,-21.2735,170.2648,7.64,5.7,mww,,49,3.641,0.83,us,usc000tkqs,2022-05-03T18:22:23.236Z,"217 km SSE of Isangel, Vanuatu",earthquake,7.5,3.2,,,reviewed,us,us
2015-02-01T13:41:10.380Z,-21.3777,170.2307,10,5,mb,,97,3.588,0.65,us,usc000tkqu,2015-05-02T14:07:19.040Z,"226 km SSE of Isangel, Vanuatu",earthquake,8.4,1.9,0.086,45,reviewed,us,us
2015-02-01T13:42:11.980Z,-20.8209,169.7156,10,5.1,mb,,128,17.728,0.86,us,usc000tndh,2015-05-02T14:07:37.040Z,"148 km SSE of Isangel, Vanuatu",earthquake,9.4,1.8,0.102,34,reviewed,us,us
2015-02-01T13:43:58.150Z,-21.7239,168.797,10,4.7,mb,,103,19.927,0.3,us,usc000tndg,2015-05-02T14:06:02.040Z,"96 km ESE of Tadine, New Caledonia",earthquake,19.1,2,0.246,8,reviewed,us,us
2015-02-01T14:02:31.000Z,-21.4512,170.1522,10.37,4.7,mb,,97,3.502,0.44,us,usc000tndj,2015-05-02T14:07:20.040Z,"230 km SSE of Isangel, Vanuatu",earthquake,8.8,5.3,0.121,26,reviewed,us,us
2015-02-01T14:10:54.810Z,-21.3672,170.0217,10,4.6,mb,,72,3.399,1.25,us,usc000tndi,2015-05-02T14:07:20.040Z,"216 km SSE of Isangel, Vanuatu",earthquake,9.6,1.9,0.145,18,reviewed,us,us
2015-02-01T14:26:16.190Z,-33.1843,-178.4901,16.32,4.6,mb,,161,5.091,0.6,us,usc000tndk,2015-05-02T14:07:14.040Z,"south of the Kermadec Islands",earthquake,14.7,2.2,0.151,14,reviewed,us,us
2015-02-01T15:36:50.350Z,-17.1561,-177.0154,40.49,4.7,mb,,140,4.743,0.28,us,usc000tndq,2015-05-02T14:05:41.040Z,"Fiji region",earthquake,8,10.1,0.246,8,reviewed,us,us
2015-02-01T16:20:36.680Z,-14.3399,-76.7374,11.49,4.6,mb,,160,2.34,0.5,us,usc000tndt,2015-05-02T14:06:09.040Z,"72 km SW of Paracas, Peru",earthquake,8.5,5.3,0.223,7,reviewed,us,us
2015-02-01T16:54:45.250Z,36.5447,70.9039,197.28,4.5,mb,,72,0.636,0.9,us,usc000tkrc,2015-05-02T14:05:50.040Z,"36 km S of Jurm, Afghanistan",earthquake,6.1,3.2,0.055,104,reviewed,us,us
2015-02-01T17:40:31.740Z,56.6568,-169.1363,10,5.3,mwb,,36,0.801,1.16,us,usc000tkrm,2023-07-25T18:46:25.656Z,"25 km ENE of Saint George, Alaska",earthquake,5.5,1.8,0.052,35,reviewed,us,us
2015-02-01T18:42:38.400Z,1.3669,97.1622,35.42,4.6,mb,,163,0.417,1.01,us,usc000tks2,2015-05-02T14:06:18.040Z,"Nias region, Indonesia",earthquake,9.4,10.5,0.119,23,reviewed,us,us
2015-02-01T18:51:47.030Z,-49.3915,-8.4085,10,4.8,mb,,112,17.965,1.26,us,usc000tks4,2015-05-02T14:07:25.040Z,"southern Mid-Atlantic Ridge",earthquake,7.2,1.9,0.149,16,reviewed,us,us
