time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-09-01T02:30:19.390Z,-52.0408,-4.8972,14.8,4.7,mb,,73,18.993,0.5,us,us20003jc6,2016-11-10T21:50:05.526Z,"southern Mid-Atlantic Ridge",earthquake,13.4,4.4,0.134,17,reviewed,us,us
2015-09-01T04:48:10.590Z,50.5611,156.8661,90.93,4.8,mb,,107,2.602,0.61,us,us20003fab,2015-12-01T00:36:07.040Z,"53 km ESE of Severo-Kuril’sk, Russia",earthquake,6.6,6.6,0.033,282,reviewed,us,us
2015-09-01T08:41:06.880Z,-23.4592,-179.8168,539.67,4.7,mb,,122,6.025,0.5,us,us20003jce,2015-12-01T00:36:07.040Z,"south of the Fiji Islands",earthquake,14.8,9.6,0.094,34,reviewed,us,us
2015-09-01T08:57:21.730Z,-19.1578,167.834,29.12,5.1,mb,,76,1.705,0.53,us,us20003fax,2016-11-10T21:50:08.933Z,"157 km WNW of Isangel, Vanuatu",earthquake,6.1,3.1,0.051,125,reviewed,us,us
2015-09-01T11:53:17.250Z,-10.1812,158.9945,13.76,4.5,mb,,72,1.194,0.66,us,us20003jcj,2015-12-01T00:36:08.040Z,"Solomon Islands",earthquake,7.4,4.2,0.128,18,reviewed,us,us
2015-09-01T13:24:45.100Z,23.8865,121.5205,19.11,5,mww,,35,0.294,0.79,us,us20003fck,2022-08-01T02:58:23.392Z,"13 km SW of Hualien City, Taiwan",earthquake,5.2,3.7,,,reviewed,us,us
2015-09-01T13:52:44.680Z,52.3711,-170.5358,50.06,4.5,mb,,121,0.598,0.75,us,us20003fcn,2023-07-27T16:48:45.707Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,6.2,5.6,0.038,197,reviewed,us,us
2015-09-01T15:11:07.260Z,9.1004,123.6841,96.97,4.7,mb,,81,2.755,0.67,us,us20003fec,2022-08-01T03:03:55.239Z,"6 km ESE of Lazi, Philippines",earthquake,10.1,7.5,0.082,45,reviewed,us,us
2015-09-01T15:24:08.540Z,31.2841,141.7062,10,5.6,mb,,25,2.43,0.74,us,us20003fe2,2022-05-03T17:29:07.281Z,"Izu Islands, Japan region",earthquake,6.6,1.8,0.029,410,reviewed,us,us
2015-09-01T15:25:09.520Z,31.1806,141.6,8,6,mww,,19,2.452,0.8,us,us20003feg,2022-05-03T17:36:48.900Z,"Izu Islands, Japan region",earthquake,8.2,1.7,,,reviewed,us,us
2015-09-01T15:28:51.000Z,-19.785,-69.245,97.2,5.4,mww,,,,1.03,us,us20003fe4,2022-08-01T03:00:12.360Z,"105 km ENE of Iquique, Chile",earthquake,4.8,3.1,,,reviewed,guc,us
2015-09-01T15:51:56.380Z,53.6097,159.4294,146.19,4.5,mb,,131,0.75,1.14,us,us20003jcq,2015-12-01T00:36:08.040Z,"81 km NE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.6,9.7,0.132,17,reviewed,us,us
2015-09-01T16:08:26.160Z,-29.6825,178.6851,565.53,5.1,mb,,44,2.984,0.91,us,us20003fej,2022-05-03T19:04:33.959Z,"Kermadec Islands region",earthquake,8.5,5,0.052,118,reviewed,us,us
2015-09-01T17:04:14.620Z,15.3905,-92.7217,104.42,5.4,mww,,67,0.572,1.06,us,us20003few,2022-08-01T03:02:59.746Z,"4 km NNE of Hidalgo, Mexico",earthquake,5.3,3.4,,,reviewed,us,us
2015-09-01T17:34:06.940Z,23.9558,122.421,26.08,4.7,mwr,,38,0.741,0.87,us,us20003ffc,2015-12-01T00:36:08.040Z,"81 km SW of Yonakuni, Japan",earthquake,2.8,4.8,0.06,27,reviewed,us,us
2015-09-01T19:17:07.340Z,36.4509,71.0755,239.6,4.7,mb,,45,0.783,0.88,us,us20003fg0,2022-08-01T03:04:54.191Z,"48 km WSW of Ashk?sham, Afghanistan",earthquake,5.9,4,0.053,106,reviewed,us,us
2015-09-01T21:03:29.520Z,1.3659,128.247,99.88,4.5,mb,,94,1.059,0.68,us,us20003jcy,2015-12-01T00:36:09.040Z,"48 km SSE of Tobelo, Indonesia",earthquake,7.4,8.7,0.078,48,reviewed,us,us
2015-09-01T22:19:20.590Z,-57.454,-25.6089,51.42,4.5,mb,,68,6.896,0.93,us,us20003jd2,2015-12-01T00:36:09.040Z,"South Sandwich Islands region",earthquake,10.1,6.2,0.121,20,reviewed,us,us
2015-09-01T23:06:28.760Z,-19.2237,167.7275,26.52,5,mb,,120,1.611,0.94,us,us20003fjq,2015-12-01T00:36:09.040Z,"167 km WNW of Isangel, Vanuatu",earthquake,9.5,4.3,0.087,42,reviewed,us,us
2015-09-02T00:51:17.080Z,-30.8843,-177.7238,10,4.6,mb,,184,1.643,0.98,us,us20003jmd,2015-12-01T00:36:09.040Z,"Kermadec Islands, New Zealand",earthquake,8.7,1.9,0.141,15,reviewed,us,us
2015-09-02T01:13:51.540Z,14.0422,53.9077,10,5.3,mwb,,111,1.515,1.26,us,us20003fka,2016-11-10T21:50:17.546Z,"154 km N of Hadibu, Yemen",earthquake,8.8,1.8,0.055,32,reviewed,us,us
2015-09-02T01:18:29.070Z,4.4132,124.6314,296,5.7,mww,,26,2.802,1.29,us,us20003fkb,2022-08-01T03:09:33.505Z,"143 km SW of Sarangani, Philippines",earthquake,7.5,1.8,,,reviewed,us,us
2015-09-02T01:26:31.710Z,-18.8003,169.3672,206.97,4.6,mb,,121,2.806,0.76,us,us20003jmf,2015-12-01T00:36:09.040Z,"82 km N of Isangel, Vanuatu",earthquake,13.8,10.9,0.165,11,reviewed,us,us
