time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-02T11:01:22.940Z,-4.0948,-104.3043,10,5.3,mwc,,149,14.411,0.67,us,usc000tb93,2016-11-10T21:45:59.366Z,"central East Pacific Rise",earthquake,12.4,1.9,,,reviewed,us,gcmt
2015-01-02T14:48:54.420Z,4.7574,125.1335,295.53,4.6,mb,,111,2.339,0.62,us,usc000tb9l,2015-03-27T07:01:14.040Z,"80 km SSW of Sarangani, Philippines",earthquake,7.7,10.3,0.152,13,reviewed,us,us
2015-01-02T17:34:53.350Z,15.5779,147.4857,27.78,4.6,mb,,98,1.663,1.4,us,usc000tg4k,2015-03-27T07:01:15.040Z,"190 km ENE of Saipan, Northern Mariana Islands",earthquake,10.8,5.9,0.103,28,reviewed,us,us
2015-01-02T17:39:09.740Z,64.6123,-17.8717,9.84,4.5,mb,,119,1.491,0.81,us,usc000tbab,2015-03-27T07:01:16.040Z,"119 km S of Akureyri, Iceland",earthquake,5.6,5,0.111,27,reviewed,us,us
2015-01-02T17:42:02.090Z,1.1293,97.0599,19.67,4.7,mb,,150,0.543,0.85,us,usc000tbac,2015-03-27T07:01:16.040Z,"151 km SSW of Singkil, Indonesia",earthquake,7.7,4.7,0.081,46,reviewed,us,us
2015-01-02T19:11:44.930Z,19.7201,-70.9143,25.66,4.5,mwr,,28,0.34,1.01,us,usc000tbb2,2015-03-27T07:01:16.040Z,"Dominican Republic region",earthquake,5.6,4.7,0.073,18,reviewed,us,us
2015-01-02T20:09:35.630Z,1.1055,123.34,49.65,4.7,mb,,60,2.207,1.04,us,usc000tbbf,2015-03-27T07:01:17.040Z,"69 km NNE of Gorontalo, Indonesia",earthquake,4.1,8.3,0.086,41,reviewed,us,us
2015-01-02T20:11:08.450Z,2.4886,126.4484,48.22,5.1,mb,,45,1.936,0.9,us,usc000tbbg,2015-03-27T07:01:17.040Z,"192 km WNW of Tobelo, Indonesia",earthquake,7,5.6,0.055,105,reviewed,us,us
2015-01-02T22:07:30.420Z,-56.9072,-150.622,10,5.3,mb,,22,26.278,0.78,us,usc000tbcd,2015-03-27T07:01:18.040Z,"Pacific-Antarctic Ridge",earthquake,11.9,0.6,0.067,75,reviewed,us,us
2015-01-02T22:29:40.030Z,6.768,60.1618,10,4.7,mb,,100,8.348,1.22,us,usc000tbcj,2015-03-27T07:01:19.040Z,"Carlsberg Ridge",earthquake,10.4,1.9,0.069,64,reviewed,us,us
