time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-06-01T00:49:12.280Z,-7.087,155.6028,35,4.7,mb,,57,4.47,0.76,us,us20002kws,2015-08-08T00:49:36.040Z,"86 km S of Panguna, Papua New Guinea",earthquake,5.4,1.9,0.087,40,reviewed,us,us
2015-06-01T01:06:17.540Z,51.8719,178.4647,109.7,4.5,mb,,85,0.081,0.77,us,us20002kwt,2024-01-17T21:09:15.344Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,7.5,4.9,0.038,203,reviewed,us,us
2015-06-01T06:52:41.340Z,44.4584,-129.8114,10,5.8,mww,,63,4.278,0.91,us,us20002kxa,2022-07-31T10:40:35.643Z,"off the coast of Oregon",earthquake,8,1.8,,,reviewed,us,us
2015-06-01T06:54:10.800Z,44.1977,-129.8272,10,5.2,mb,,167,4.207,1.46,us,us20002pax,2015-08-08T00:49:39.040Z,"off the coast of Oregon",earthquake,8.9,1.9,0.093,38,reviewed,us,us
2015-06-01T08:57:19.950Z,-3.8991,98.9641,10,4.6,mb,,63,4.007,1.35,us,us20002kxy,2015-08-08T00:49:41.040Z,"southwest of Sumatra, Indonesia",earthquake,7.8,1.9,0.089,38,reviewed,us,us
2015-06-01T10:28:46.010Z,-6.0775,130.7012,109.3,5.1,mb,,25,1.983,1.1,us,us20002kzy,2015-08-08T00:49:42.040Z,"232 km WSW of Tual, Indonesia",earthquake,7,5,0.061,86,reviewed,us,us
2015-06-01T10:46:27.260Z,44.5389,-129.6521,10,5.4,mww,,169,4.2,1.42,us,us20002l01,2022-07-31T10:42:26.461Z,"off the coast of Oregon",earthquake,8.6,1.9,,,reviewed,us,us
2015-06-01T10:53:28.440Z,63.8412,155.497,10,4.7,mb,,84,1.673,1,us,us20002l0a,2015-08-08T00:49:43.040Z,"141 km N of Dukat, Russia",earthquake,4.7,1.8,0.04,188,reviewed,us,us
2015-06-01T11:10:00.300Z,-25.6047,179.7145,484.3,4.7,mb,,68,4.187,0.81,us,us20002l06,2015-08-08T00:49:43.040Z,"south of the Fiji Islands",earthquake,6.4,6.1,0.055,102,reviewed,us,us
2015-06-01T11:57:19.110Z,-18.3288,-71.2585,31.67,4.7,mww,,90,0.871,1.01,us,us20002l0d,2022-07-31T10:43:32.118Z,"76 km S of Pacocha, Peru",earthquake,6.5,3.8,,,reviewed,us,us
2015-06-01T12:57:52.480Z,86.1076,31.685,10,5.2,mb,,15,7.584,0.62,us,us20002l0w,2015-08-08T00:49:45.040Z,"north of Svalbard",earthquake,8.3,1.8,0.026,471,reviewed,us,us
2015-06-01T14:07:50.200Z,4.6521,95.5695,73.45,5,mb,,79,1.487,0.83,us,us20002l18,2022-07-31T10:46:22.604Z,"83 km NW of Meulaboh, Indonesia",earthquake,8.3,5.6,0.052,119,reviewed,us,us
2015-06-01T14:41:08.570Z,36.1184,70.3377,115.07,4.8,mb,,65,1.023,0.8,us,us20002l1e,2022-07-31T10:50:01.020Z,"66 km SE of Farkh?r, Afghanistan",earthquake,5.8,3.1,0.041,183,reviewed,us,us
