time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-01T00:05:00.810Z,-6.0326,103.7117,34,5.3,mwb,,11,3.261,1.24,us,us10003jdr,2016-11-10T21:54:40.056Z,"184 km WSW of Bandar Lampung, Indonesia",earthquake,6.7,1.7,0.054,33,reviewed,us,us
2015-10-01T00:26:55.860Z,-16.0926,-174.8847,262.67,4.5,mb,,66,3.705,0.53,us,us10003jdz,2016-01-04T22:28:33.040Z,"117 km W of Hihifo, Tonga",earthquake,9.6,6.4,0.062,77,reviewed,us,us
2015-10-01T01:12:39.830Z,-3.655,151.039,25.85,4.8,mb,,58,1.242,0.95,us,us10003je4,2016-11-10T21:54:41.238Z,"122 km SSE of Kavieng, Papua New Guinea",earthquake,7.6,6.2,0.102,30,reviewed,us,us
2015-10-01T02:06:22.650Z,-30.7069,-71.4783,38.33,4.7,mb,,83,0.643,0.54,us,us10003je8,2016-01-04T22:28:33.040Z,"29 km WSW of Ovalle, Chile",earthquake,4.4,6.5,0.082,45,reviewed,us,us
2015-10-01T02:25:54.040Z,-30.1461,-72.0068,14.29,4.6,mwr,,84,0.616,0.81,us,us10003jed,2016-01-04T22:28:34.040Z,"67 km WSW of Coquimbo, Chile",earthquake,4.6,3.7,0.047,44,reviewed,us,us
2015-10-01T02:49:52.880Z,-6.0758,103.6444,35,5.1,mww,,43,3.323,0.69,us,us10003jei,2016-11-10T21:54:41.853Z,"192 km WSW of Bandar Lampung, Indonesia",earthquake,6.9,1.9,,,reviewed,us,us
2015-10-01T06:42:29.120Z,33.7787,-38.0533,10,4.7,mb,,144,21.405,0.49,us,us10003n8l,2016-01-04T22:28:35.040Z,"northern Mid-Atlantic Ridge",earthquake,13.7,1.9,0.096,33,reviewed,us,us
2015-10-01T11:34:00.270Z,-29.4184,-178.9282,273.93,4.5,mb,,100,0.889,0.74,us,us10003jgq,2016-01-04T22:28:36.040Z,"Kermadec Islands, New Zealand",earthquake,12.2,6.3,0.08,46,reviewed,us,us
2015-10-01T14:31:10.210Z,-32.7952,-72.121,10,4.5,mb,,191,0.465,0.84,us,us10003jgy,2016-01-04T22:28:36.040Z,"53 km WNW of Valparaíso, Chile",earthquake,5.7,1.9,0.222,6,reviewed,us,us
2015-10-01T19:42:47.180Z,-15.7239,-72.0935,30.24,4.9,mb,,123,3.12,1.03,us,us10003jkl,2022-08-01T08:50:00.862Z,"1 km ENE of Huambo, Peru",earthquake,8.9,4.7,0.04,193,reviewed,us,us
2015-10-01T19:43:10.730Z,-20.8067,-176.61,250.89,4.5,mb,,208,5.889,0.9,us,us10003n8w,2016-01-04T22:28:38.040Z,"150 km WNW of Haveluloto, Tonga",earthquake,17.8,8.7,0.108,25,reviewed,us,us
2015-10-01T21:47:10.400Z,-12.4728,44.5513,14.92,4.6,mb,,48,6.573,0.43,us,us10003jm3,2022-08-01T08:55:22.690Z,"13 km SSE of Antsahé, Comoros",earthquake,9.4,3.9,0.085,42,reviewed,us,us
2015-10-01T22:49:30.580Z,-16.2664,-173.8606,91.49,5.4,mwb,,21,3.088,1.03,us,us10003jmk,2016-11-10T21:54:44.857Z,"35 km SSW of Hihifo, Tonga",earthquake,7.8,3.9,0.098,10,reviewed,us,us
2015-10-02T01:58:17.910Z,-5.0129,134.1501,28.37,4.6,mb,,77,2.814,0.67,us,us10003jp6,2016-01-04T22:28:40.040Z,"169 km ENE of Tual, Indonesia",earthquake,7.9,5.3,0.107,30,reviewed,us,us
2015-10-02T02:51:13.070Z,-32.8501,-178.4286,10,4.5,mb,,172,3.619,0.25,us,us10003n9d,2016-01-04T22:28:41.040Z,"south of the Kermadec Islands",earthquake,8.7,1.8,0.191,8,reviewed,us,us
2015-10-02T04:04:08.670Z,-33.0992,-178.4144,10,4.6,mb,,188,6.305,0.81,us,us10003n9f,2016-01-04T22:28:41.040Z,"south of the Kermadec Islands",earthquake,13.2,1.5,0.152,13,reviewed,us,us
2015-10-02T04:28:32.090Z,-45.6126,-107.3596,10,4.8,mb,,49,18.491,0.72,us,us10003jph,2016-11-10T21:54:46.058Z,"southern East Pacific Rise",earthquake,12.4,1.7,0.054,107,reviewed,us,us
2015-10-02T07:43:21.650Z,-30.9404,-71.5984,31,4.5,mb,,85,0.267,0.81,us,us10003jq4,2016-01-04T22:28:43.040Z,"53 km SW of Ovalle, Chile",earthquake,5.2,5.2,0.192,8,reviewed,us,us
2015-10-02T07:54:20.800Z,-31.4233,-72.7889,10,4.5,mb,,142,1.24,0.74,us,us10003jq6,2016-01-04T22:28:43.040Z,"155 km W of Illapel, Chile",earthquake,7.5,1.9,0.15,13,reviewed,us,us
2015-10-02T08:28:07.000Z,-36.6214,-71.474,92.87,4.6,mb,,117,0.857,0.92,us,us10003jqi,2022-08-01T09:01:38.667Z,"31 km E of Coihueco, Chile",earthquake,6.8,7.1,0.126,19,reviewed,us,us
2015-10-02T11:29:24.030Z,22.5271,93.4444,42.65,4.6,mb,,47,3.356,0.84,us,us10003jra,2016-01-04T22:28:45.040Z,"21 km SW of Hakha, Myanmar",earthquake,7.9,3.6,0.085,41,reviewed,us,us
2015-10-02T14:48:16.390Z,-32.0201,-71.948,35,4.5,mb,,175,1.033,0.76,us,us10003jry,2016-01-04T22:28:46.040Z,"82 km NW of La Ligua, Chile",earthquake,6.8,2,0.221,6,reviewed,us,us
2015-10-02T15:51:53.330Z,1.3146,125.0141,109.83,5.2,mww,,69,2.413,1.21,us,us10003js9,2016-11-10T21:54:46.635Z,"11 km E of Tondano, Indonesia",earthquake,7.1,0.6,,,reviewed,us,us
2015-10-02T16:22:47.000Z,-30.579,-71.6,32.5,4.9,mwr,,,,1.31,us,us10003jsh,2022-05-03T17:32:44.942Z,"38 km W of Ovalle, Chile",earthquake,3.6,4.6,,,reviewed,guc,guc
2015-10-02T16:33:27.300Z,-31.0024,-72.834,10,4.9,mww,,87,1.082,1.07,us,us10003jsk,2022-08-01T09:07:21.278Z,"162 km WSW of Ovalle, Chile",earthquake,6.3,1.9,,,reviewed,us,us
2015-10-02T19:43:38.200Z,-4.0615,142.0613,100.1,4.5,mb,,101,7.334,1.22,us,us10003jw2,2016-01-04T22:28:48.040Z,"85 km WNW of Ambunti, Papua New Guinea",earthquake,10.1,6.5,0.102,28,reviewed,us,us
